link,name
https://www.worldometers.info/coronavirus/['country/hungary/'],Hungary
https://www.worldometers.info/coronavirus/['country/slovakia/'],Slovakia
https://www.worldometers.info/coronavirus/['country/jordan/'],Jordan
https://www.worldometers.info/coronavirus/['country/georgia/'],Georgia
https://www.worldometers.info/coronavirus/['country/ireland/'],Ireland
https://www.worldometers.info/coronavirus/['country/pakistan/'],Pakistan
https://www.worldometers.info/coronavirus/['country/singapore/'],Singapore
https://www.worldometers.info/coronavirus/['country/norway/'],Norway
https://www.worldometers.info/coronavirus/['country/new-zealand/'],New Zealand
https://www.worldometers.info/coronavirus/['country/kazakhstan/'],Kazakhstan
https://www.worldometers.info/coronavirus/['country/china-hong-kong-sar/'],Hong Kong
https://www.worldometers.info/coronavirus/['country/morocco/'],Morocco
https://www.worldometers.info/coronavirus/['country/bulgaria/'],Bulgaria
https://www.worldometers.info/coronavirus/['country/croatia/'],Croatia
https://www.worldometers.info/coronavirus/['country/finland/'],Finland
https://www.worldometers.info/coronavirus/['country/lebanon/'],Lebanon
https://www.worldometers.info/coronavirus/['country/cuba/'],Cuba
https://www.worldometers.info/coronavirus/['country/lithuania/'],Lithuania
https://www.worldometers.info/coronavirus/['country/tunisia/'],Tunisia
https://www.worldometers.info/coronavirus/['country/slovenia/'],Slovenia
https://www.worldometers.info/coronavirus/['country/belarus/'],Belarus
https://www.worldometers.info/coronavirus/['country/nepal/'],Nepal
https://www.worldometers.info/coronavirus/['country/uruguay/'],Uruguay
https://www.worldometers.info/coronavirus/['country/united-arab-emirates/'],UAE
https://www.worldometers.info/coronavirus/['country/mongolia/'],Mongolia
https://www.worldometers.info/coronavirus/['country/bolivia/'],Bolivia
https://www.worldometers.info/coronavirus/['country/panama/'],Panama
https://www.worldometers.info/coronavirus/['country/guatemala/'],Guatemala
https://www.worldometers.info/coronavirus/['country/ecuador/'],Ecuador
https://www.worldometers.info/coronavirus/['country/costa-rica/'],Costa Rica
https://www.worldometers.info/coronavirus/['country/latvia/'],Latvia
https://www.worldometers.info/coronavirus/['country/saudi-arabia/'],Saudi Arabia
https://www.worldometers.info/coronavirus/['country/azerbaijan/'],Azerbaijan
https://www.worldometers.info/coronavirus/['country/sri-lanka/'],Sri Lanka
https://www.worldometers.info/coronavirus/['country/paraguay/'],Paraguay
https://www.worldometers.info/coronavirus/['country/kuwait/'],Kuwait
https://www.worldometers.info/coronavirus/['country/bahrain/'],Bahrain
https://www.worldometers.info/coronavirus/['country/myanmar/'],Myanmar
https://www.worldometers.info/coronavirus/['country/dominican-republic/'],Dominican Republic
https://www.worldometers.info/coronavirus/['country/state-of-palestine/'],Palestine
https://www.worldometers.info/coronavirus/['country/estonia/'],Estonia
https://www.worldometers.info/coronavirus/['country/venezuela/'],Venezuela
https://www.worldometers.info/coronavirus/['country/moldova/'],Moldova
https://www.worldometers.info/coronavirus/['country/egypt/'],Egypt
https://www.worldometers.info/coronavirus/['country/cyprus/'],Cyprus
https://www.worldometers.info/coronavirus/['country/libya/'],Libya
https://www.worldometers.info/coronavirus/['country/ethiopia/'],Ethiopia
https://www.worldometers.info/coronavirus/['country/honduras/'],Honduras
https://www.worldometers.info/coronavirus/['country/armenia/'],Armenia
https://www.worldometers.info/coronavirus/['country/reunion/'],Réunion
https://www.worldometers.info/coronavirus/['country/oman/'],Oman
https://www.worldometers.info/coronavirus/['country/qatar/'],Qatar
https://www.worldometers.info/coronavirus/['country/bosnia-and-herzegovina/'],Bosnia and Herzegovina
https://www.worldometers.info/coronavirus/['country/kenya/'],Kenya
https://www.worldometers.info/coronavirus/['country/zambia/'],Zambia
https://www.worldometers.info/coronavirus/['country/botswana/'],Botswana
https://www.worldometers.info/coronavirus/['country/macedonia/'],North Macedonia
https://www.worldometers.info/coronavirus/['country/albania/'],Albania
https://www.worldometers.info/coronavirus/['country/algeria/'],Algeria
https://www.worldometers.info/coronavirus/['country/luxembourg/'],Luxembourg
https://www.worldometers.info/coronavirus/['country/nigeria/'],Nigeria
https://www.worldometers.info/coronavirus/['country/zimbabwe/'],Zimbabwe
https://www.worldometers.info/coronavirus/['country/uzbekistan/'],Uzbekistan
https://www.worldometers.info/coronavirus/['country/montenegro/'],Montenegro
https://www.worldometers.info/coronavirus/['country/mozambique/'],Mozambique
https://www.worldometers.info/coronavirus/['country/laos/'],Laos
https://www.worldometers.info/coronavirus/['country/kyrgyzstan/'],Kyrgyzstan
https://www.worldometers.info/coronavirus/['country/iceland/'],Iceland
